,clusters
Fibrotic fibroblast,2433
AT2,2195
EC Venous,2172
EC Arterial,1847
Dendritic cells,1425
CD4+ T Cells,1211
KRT5-/KRT17+ cells,1145
EC General capillary,950
Monocyte-derived macrophage,926
CD8+ T Cells,892
Smooth muscle cells,863
Plasma cells,826
Ciliated,761
SPP1+ macrophages,679
MUC5B+ club,660
Alveolar fibroblasts,652
Alveolar macrophages,544
SCGB3A2+/SCGB1A1+ club,512
Monocyte,507
Mast cells,399
NK cells,392
Pericyte,362
Goblet,330
AT1,292
EC Lymphatic,248
B cells,206
Inflammatory fibroblasts,175
AT2 transitional,171
Peribronchial fibroblasts,154
Adventitial fibroblasts,128
Proliferating fibroblasts,48
Basal,20
